,TVL_uniswap,price_UNI,TVL_aave,price_AAVE
2024-12-30,5914810902.11776,13.238938652835525,20590937500.80047,323.63612530394215
2024-12-31,5897923749.29536,13.186330669735034,20387190607.43752,309.1283246465637
2025-01-01,5877844690.92994,13.604402336284107,20408397741.49803,320.69781598396224
2025-01-02,5959316537.356131,14.235263737907493,20814608339.337334,331.34029005354154
2025-01-03,6113013477.727449,15.188664418791417,21122671066.835876,351.0531658903141
2025-01-04,6354453908.09003,15.319839929866594,21522938561.055172,353.0837894021452
2025-01-05,6372929046.01243,15.259060280327034,21761709212.439808,342.6563653150671
2025-01-06,6386839683.853661,15.04880560597815,21825698838.66035,341.33821881380413
2025-01-07,6480842515.47201,13.64789517734229,22114899474.44658,308.3343383341567
2025-01-08,6064340676.13974,13.136693779465904,20269799760.75795,294.81772576176326
2025-01-09,6093468052.4554,12.847295996435571,20108906486.767643,282.39337594818454
2025-01-10,5880592733.65739,14.06739838685856,19736496566.08455,286.9037106152202
2025-01-11,6030978364.36145,13.695786642873419,20312030226.74784,288.4925180326688
2025-01-12,6006358398.66431,13.531365106822662,20534545565.29942,286.09168269725524
2025-01-13,5891574151.51703,12.90880111963732,20688516704.17448,293.39990794742414
2025-01-14,5752077725.38678,13.392976665147527,20301546526.62072,298.6674563965827
2025-01-15,5993549389.20842,14.509470933553164,20896596304.03024,318.5920343085562
2025-01-16,6354998746.081409,14.115984379463985,21912249448.56666,310.99498824555087
2025-01-17,6169418611.18656,15.01638407804272,21303340325.6865,335.1861390721938
2025-01-18,6046306167.7456,14.04401014516414,22165200061.912327,313.320955600285
2025-01-19,6009911650.97176,13.525186904328288,21512079248.16165,316.325185040191
2025-01-20,5771817978.77854,13.640835943084392,21063010430.83426,347.1969129760622
2025-01-21,5771323037.92496,13.502729857578633,21379948183.361988,374.0695478505791
2025-01-22,5895949638.252991,12.88858215152611,21688679846.217438,348.4071597654552
2025-01-23,5794333644.21026,12.768297905741656,21421586765.72135,336.8900163652378
2025-01-24,5874269499.497339,12.498329492435522,21649367679.655632,336.15493910424004
2025-01-25,5904430608.44895,12.142630932074594,21871609662.73148,328.53097469075516
2025-01-26,5937076399.4437,11.715929890234458,22009312421.59182,324.6026307412959
2025-01-27,5809031416.01335,10.93772412376406,21792060311.228622,303.4792064001765
2025-01-28,5617844400.12146,11.136754245593032,20971974272.052773,284.13871165324065
2025-01-29,5493922707.4307,11.82556943824122,20990835531.10834,295.4043707665086
2025-01-30,5634397603.69426,12.021899720780677,21279668625.611797,317.6270078313629
2025-01-31,5817769754.11427,11.775903635299725,21918331537.495434,334.09568061093114
2025-02-01,5894625018.618071,10.968455259169486,22108741533.68061,299.5463866014617
2025-02-02,5722117593.41239,9.16068077774529,21252624755.88285,255.2263983411741
2025-02-03,5564975933.638181,10.083229996638202,19685342173.320507,282.0343663742799
2025-02-04,5313328932.035411,8.961253819393502,20409749450.86372,267.5533440444999
2025-02-05,5134812120.804979,9.168149335280342,19771961577.15053,257.1712751673208
2025-02-06,5026504541.143299,9.03622399252297,19721375720.80019,243.97872504831437
2025-02-07,4890451546.9522295,8.872812870995311,19609131076.16537,233.26506468815262
2025-02-08,4835201363.875951,9.122141672080833,19373464709.45057,237.2062383205624
2025-02-09,4859111697.82358,9.053664406274498,19524298256.023983,239.03202640041363
2025-02-10,4841885179.2155695,9.497600744960302,19403178929.639412,250.67692682408892
2025-02-11,4894870148.91814,9.355831953533938,19773070280.381226,243.40751178657396
2025-02-12,4753282113.54755,10.005933138446455,19304263972.086746,254.89950281146758
2025-02-13,4857681876.52465,9.826016209001526,19874643487.74748,255.71426785879473
2025-02-14,4799268665.17947,10.018020512267029,19756259650.35355,261.2442820029162
2025-02-15,4856668877.67794,9.773562986623357,20011258418.832237,252.50322534484016
2025-02-16,4839688845.43606,9.653128192596174,19875781936.593216,255.2640756432978
2025-02-17,4874184679.58153,9.850032778344248,19603080914.995274,264.02566577318754
2025-02-18,4850261057.79397,9.495322432734696,20009016966.67698,248.37350764436206
2025-02-19,4770876851.472909,9.463244673336575,19635282778.8259,253.79317335789827
2025-02-20,4814506068.78526,9.325448618277651,19949291693.722668,261.0127974330763
2025-02-21,4883596375.2682495,8.713430279722601,20209497394.166103,240.62232402325978
2025-02-22,4771941813.57063,9.080485694753138,19701522864.81068,248.2025612104894
2025-02-23,4905978478.99784,9.000582628545443,19724641671.340103,246.1361433469501
2025-02-24,4944759166.68394,7.922401622603567,20549153215.718628,209.0611556983111
2025-02-25,4428954509.52514,8.434812806817956,19295633021.00021,205.179738977758
2025-02-26,4452646164.97584,7.971036901223959,19176001550.378128,206.40396417457407
2025-02-27,4246809455.14382,7.819088663897881,18096041252.938606,202.21839955897914
